id;vorname;nachname;age
1241;Dania;Eiser;29
1242;Kristan;Blake;42
1243;Anthia;Charmine;30
1244;Tonia;Gale;44
1245;Raf;Raseda;89
1246;Riannon;Tannie;33
1247;Marti;Abram;90
1248;Riannon;Larochelle;38
1249;Sue;Anderea;41
1250;Kenna;Stilwell;9
1251;Fred;Publia;63
1252;Bertine;Reidar;59
1253;Hyacinthe;Yam;37
1254;Natka;Libna;5
1255;Alameda;Louanna;49
1256;Lucille;Trey;55
1257;Pollyanna;Friede;34
1258;Brandise;Wu;64
1259;Jasmina;Munn;87
1260;Hallie;Solitta;36
1261;Gerianna;Regan;34
1262;Maridel;Nore;41
1263;Dyann;Erminia;72
1264;Ashlee;Valoniah;100
1265;Wynne;Reinke;29
1266;Linzy;Ventre;64
1267;Lelah;Tannie;4
1268;Sibella;Sigfrid;66
1269;Sue;Edee;20
1270;Frances;Shields;53
1271;Emilia;Skell;64
1272;Rubie;Durware;52
1273;Janey;Linehan;37
1274;Yetty;Garbe;49
1275;Millie;Hachmin;21
1276;Iseabal;Catie;74
1277;Georgina;Marijo;61
1278;Michaelina;Mott;99
1279;Aimil;Bakerman;14
1280;Rani;Seessel;34
1281;Heida;Faust;7
1282;Eve;Kolnick;22
1283;Mahalia;Carolin;29
1284;Tierney;Blisse;95
1285;Fawne;Skurnik;65
1286;Lorie;Andrel;12
1287;Maryellen;Lay;99
1288;Heddie;Ogren;3
1289;Myriam;Xerxes;13
1290;Rani;Brandice;30
1291;Meriel;Zitvaa;32
1292;Nyssa;Pattin;34
1293;Brana;Melan;47
1294;Theodora;Dulciana;15
1295;Liana;Evangelia;87
1296;Chickie;Hirsch;35
1297;Zondra;Tamar;47
1298;Livvyy;Amethist;26
1299;Madeleine;Stover;76
1300;Melisent;Diogenes;42
1301;Dulce;Malina;11
1302;Darci;Kress;5
1303;Debee;Boehike;8
1304;Evita;Garbe;42
1305;Margarette;Stav;87
1306;Ann-Marie;Luhe;55
1307;Binny;Kosey;67
1308;Kylynn;Carri;86
1309;Deane;Egbert;59
1310;Alia;Noam;2
1311;Dania;Wind;32
1312;Isa;Goode;35
1313;Deedee;Hylan;11
1314;Ariela;Suk;20
1315;Karina;Sinegold;51
1316;Carly;Joseph;95
1317;Adele;Jillane;17
1318;Xylina;Garbe;16
1319;Dulce;Talia;79
1320;Juliane;Schonfeld;87
1321;Magdalena;Goth;7
1322;Merci;Delacourt;30
1323;Kellen;Revkah;64
1324;Gusty;Read;47
1325;Wendi;Herrera;71
1326;Alleen;Milde;77
1327;Flory;Cosenza;25
1328;Arabel;Christal;81
1329;Dawn;Nadia;29
1330;Marika;Jobi;29
1331;Corry;Mott;46
1332;Blake;Lareena;73
1333;Gusella;Sidonius;81
1334;Tani;Gregrory;55
1335;Kelly;Tremayne;93
1336;Feliza;Kronfeld;53
1337;Elbertina;Septima;28
1338;Helsa;Rhu;3
1339;Tabbatha;Vivle;27
1340;Cindelyn;Prouty;10
1341;Evaleen;Goth;89
1342;Morganica;Tengdin;73
1343;Coral;Faro;72
1344;Therine;Mayeda;15
1345;Alia;Danby;62
1346;Xylina;Leary;74
1347;Dode;Letsou;92
1348;Jordan;Land;38
1349;Tori;Dulciana;65
1350;Adriana;Merriott;43
1351;Candi;Schonfeld;61
1352;Albertina;Hashim;69
1353;Silvana;Frendel;37
1354;Cordi;Janith;46
1355;Dorene;Blisse;50
1356;Janis;Bahr;81
1357;Barbara;Garlinda;56
1358;Jerry;Belanger;98
1359;Rozele;Frendel;46
1360;Ermengarde;Madaih;60
1361;Katuscha;Dearborn;33
1362;Beverley;Dunkin;88
1363;Allis;Ingra;80
1364;Claresta;Garek;20
1365;Sabina;Anton;61
1366;Dari;Hilbert;89
1367;Carmela;Keily;62
1368;Ariela;Thornburg;15
1369;Hildegaard;Hanshaw;56
1370;Mariele;Rugen;90
1371;Evita;Freddi;47
1372;Ruthe;Roscoe;89
1373;Linzy;Wareing;61
1374;Joleen;Abernon;94
1375;Clarice;Gibbeon;6
1376;Meg;Raul;26
1377;Bill;Oriana;12
1378;Bettine;Hanleigh;7
1379;Carol-Jean;Teryn;37
1380;Beatriz;Marlie;47
1381;Flo;Alrich;18
1382;Taffy;Glovsky;2
1383;Sindee;Amand;88
1384;Albertina;Solitta;69
1385;Harrietta;Chinua;50
1386;Frank;Aprile;31
1387;Gusella;Malanie;21
1388;Silvana;Hewitt;85
1389;Codie;Kendrick;26
1390;Clary;Sandye;77
1391;Letizia;Iiette;18
1392;Elena;Harriman;7
1393;Kristan;Bonucci;15
1394;Wilma;Gower;93
1395;Marcy;Rhu;15
1396;Neila;Huggins;37
1397;Shannah;Kenney;13
1398;Sidoney;Gregrory;48
1399;Marinna;Norrie;77
1400;Diena;Wenda;17
1401;Violet;Cristi;34
1402;Nickie;Mathilde;94
1403;Kamilah;Isacco;92
1404;Ashlee;Christine;53
1405;Renae;Nahum;15
1406;Charmaine;Schalles;40
1407;Mathilda;Docilla;84
1408;Vevay;Joni;59
1409;Charissa;Leifeste;80
1410;Willetta;Pyle;72
1411;Pollyanna;Nelsen;40
1412;Ezmeralda;Hanleigh;93
1413;Viki;Laurianne;4
1414;Michaelina;Junie;4
1415;Brianna;Egbert;60
1416;Maisey;Delacourt;47
1417;Sharlene;Odysseus;50
1418;Carmencita;Wu;60
1419;Roxane;Mehalek;79
1420;Larine;Armanda;7
1421;Shauna;Sikorski;4
1422;Christy;Kermit;37
1423;Merci;Abram;14
1424;Celestyna;Ardra;98
1425;Gisela;Shirberg;40
1426;Nananne;Kenwood;12
1427;Sara-Ann;Yorick;70
1428;Lelah;Talia;88
1429;Renie;Shirberg;56
1430;Alia;Havens;56
1431;Josephine;Joli;12
1432;Ursulina;Stanwood;37
1433;Aurore;Gert;69
1434;Dacia;Reinke;47
1435;Jaclyn;Koziara;60
1436;Kelly;Cornelia;18
1437;Brooks;Abram;57
1438;Hyacinthe;Larochelle;35
1439;Vanessa;Whiffen;97
1440;Rhea;Emerson;57
1441;Eugine;Ummersen;57
1442;Tomasina;Hurley;3
1443;Joceline;Cordi;22
1444;Valera;Shaddock;58
1445;Tybie;Armanda;56
1446;Raquela;Nelsen;83
1447;Edyth;Rurik;68
1448;Dulce;Kylander;12
1449;Moyna;Fulmer;4
1450;Winifred;Kazimir;70
1451;Calla;Decato;30
1452;Berget;Nerita;74
1453;Alexine;Lalitta;99
1454;Ursulina;Torray;81
1455;Latisha;Sharl;91
1456;Rosanne;Bow;95
1457;Carree;Gilmour;72
1458;Joleen;Percy;78
1459;Chickie;Ricki;41
1460;Debee;Weaks;91
1461;Zondra;Phaidra;54
1462;Anallese;Braun;37
1463;Janey;Lasley;6
1464;Anallese;Seagraves;64
1465;Shaine;Dermott;51
1466;Priscilla;Santoro;2
1467;Libbie;Odysseus;7
1468;Jan;Zina;55
1469;Carolina;Pauly;55
1470;Nerta;Newell;32
1471;Annora;Lymann;1
1472;Hermione;Ax;80
1473;Ariela;Elsinore;65
1474;Frieda;Rese;43
1475;Sallie;Hutchison;27
1476;Dotty;Lasley;89
1477;Daphne;Dalli;79
1478;Dotty;Talia;93
1479;Codie;Yorick;51
1480;Glenda;Celestine;71
1481;Theodora;Regan;7
1482;Kelly;Presber;49
1483;Zsa Zsa;Center;42
1484;Corry;Elsinore;63
1485;Stacey;Zeeba;95
1486;Nollie;Cherianne;30
1487;Randa;Wareing;42
1488;Lilith;Rheingold;73
1489;Annora;Louanna;62
1490;Kathy;Erich;85
1491;Leona;Jehu;62
1492;Fred;Brodench;72
1493;Selma;Jacinda;89
1494;Paola;Marden;69
1495;Jaime;Simmonds;68
1496;Cyndie;Hebner;79
1497;Alex;Maurine;60
1498;Bee;Hermes;22
1499;Lauryn;Ciro;29
1500;June;Azeria;53
1501;Fawne;Even;72
1502;Sadie;Haerr;11
1503;Shandie;Concha;99
1504;Kaja;Secrest;24
1505;Karlee;Fiann;38
1506;Shannah;Pyle;12
1507;Iseabal;Tamar;90
1508;Libbie;Yorick;59
1509;Xylina;Dannye;21
1510;Paola;Koziara;71
1511;Lynea;Sammons;80
1512;Leia;Ogren;94
1513;Miquela;Gregrory;32
1514;Orsola;Franza;18
1515;Heddie;Kathie;1
1516;Shaine;Judye;18
1517;Tobe;Katrine;39
1518;Debee;Montgomery;52
1519;Nikki;Gavrila;1
1520;Berta;Septima;19
1521;Joceline;Darrell;45
1522;Di;An;71
1523;Delilah;Nelsen;82
1524;Chere;Shelba;79
1525;Sharai;Constancy;34
1526;Corry;Goddard;69
1527;Debee;Seagraves;87
1528;Julieta;Lumbard;95
1529;Hayley;Borrell;20
1530;Susette;Janene;80
1531;Melanie;Karna;41
1532;Evaleen;Mallon;8
1533;Benita;Lane;6
1534;Verla;Ulphia;71
1535;Ilse;Peti;52
1536;Zondra;Tannie;95
1537;Lynnea;Leopold;61
1538;Philis;Jobi;55
1539;Elise;Jillane;48
1540;Hermione;Levey;85
1541;Collen;Stanwood;21
1542;Oralee;Moseley;77
1543;Sheree;Sibyls;11
1544;Alex;Ader;56
1545;Ofilia;Buckler;18
1546;Loree;Weinreb;75
1547;Gabriellia;Mayeda;26
1548;Dale;Pond;47
1549;Cherrita;Dreda;35
1550;Gratia;Peti;37
1551;Clementine;Randene;37
1552;Celene;Santoro;55
1553;Keelia;Frodi;47
1554;Sonni;Burnside;43
1555;Margette;Bollay;50
1556;Mireielle;Means;39
1557;Atlanta;Emmy;64
1558;Elise;Anyah;70
1559;Vere;Alexandr;16
1560;Xylina;Sibyls;70
1561;Tori;Schalles;49
1562;Jany;Douglass;7
1563;Tamqrah;Papageno;15
1564;Sybille;Grosz;42
1565;Gwenneth;Naor;17
1566;Melisent;Boehike;41
1567;Fidelia;Corrine;82
1568;Giustina;Emanuel;56
1569;Briney;Jotham;75
1570;Sissy;Karylin;93
1571;Melina;Linskey;38
1572;Mallory;Lytton;92
1573;Andeee;Earlie;72
1574;Odessa;Carolin;53
1575;Madeleine;Gahl;77
1576;Inga;Corrine;87
1577;Hollie;Telfer;17
1578;Elvira;Darrell;28
1579;Carilyn;Rosette;7
1580;Emmey;Firmin;80
1581;Madeleine;Erminia;50
1582;Lilith;Urias;32
1583;Blondelle;MacIntosh;49
1584;Lacie;Himelman;34
1585;Chickie;Buttaro;87
1586;Yolane;Virgin;63
1587;Adriana;Brandice;83
1588;Rhea;Amethist;60
1589;Karlee;Raseda;59
1590;Maye;Phaidra;35
1591;Caressa;Herrera;63
1592;Adele;Lumbard;100
1593;Renae;Even;53
1594;Jordan;Wesle;41
1595;Jennica;Romelda;63
1596;Starla;Tippets;31
1597;Belinda;Ambrosia;3
1598;Feliza;Bettine;81
1599;Nanete;Kimmie;76
1600;Belva;Holbrook;34
1601;Gloria;Klemperer;95
1602;Jean;Pearse;12
1603;Rosanne;Fax;93
1604;Caressa;Jena;61
1605;Elvira;Niccolo;45
1606;Mara;Zitvaa;6
1607;Gui;Tyson;9
1608;Siana;Gale;74
1609;Heida;Wadell;4
1610;Robbi;Idelia;25
1611;Cathie;Primalia;84
1612;Dolli;Fairweather;33
1613;Florie;Yerkovich;55
1614;Jasmina;Rosalba;47
1615;Glenda;Gunn;77
1616;Corly;Wareing;32
1617;Agathe;Claudine;43
1618;Sadie;Elbertina;42
1619;Elfreda;Roarke;52
1620;Fredericka;Afton;11
1621;Trixi;Abernon;54
1622;Corina;Rosemary;20
1623;Ingrid;Couture;52
1624;Ardys;Ferrell;15
1625;Marylou;Engdahl;27
1626;Caritta;Gualtiero;79
1627;Adele;Maryanne;98
1628;Vanessa;Aprile;61
1629;Odessa;Riordan;5
1630;Karolina;Shanley;48
1631;Starla;Riva;22
1632;Adele;Merriott;88
1633;Jolyn;Richers;77
1634;Orelia;Brackely;52
1635;Fayre;Cookie;72
1636;Lulita;Hertzfeld;61
1637;Hildegaard;Durware;20
1638;Juliane;Ioab;33
1639;Fredericka;Maurine;97
1640;Katharina;Even;46
1641;Mireielle;Letsou;15
1642;Sheelagh;Karylin;6
1643;Courtnay;Cullin;30
1644;Oona;Edmund;10
1645;Calla;Stevy;93
1646;Hermione;Schonfeld;62
1647;Drucie;Virgin;34
1648;Rayna;Ezar;56
1649;Selma;Fiester;71
1650;Gusella;Marsden;64
1651;Kelly;Roche;67
1652;Feliza;Sekofski;33
1653;Jolyn;Fink;91
1654;Marylou;Gower;69
1655;Linzy;Rosalba;3
1656;Beverley;Bibi;25
1657;Henriette;Bobbee;100
1658;Nollie;Lipson;71
1659;Tera;Kauppi;87
1660;Giustina;Lanita;50
1661;Danny;Emmaline;74
1662;Rosabelle;Kenwood;90
1663;Alie;Jagir;41
1664;Perry;Kirstin;10
1665;Imojean;Bibi;64
1666;Beverley;Urias;45
1667;Collen;Cath;56
1668;Cherilyn;Darrell;68
1669;Kassey;Brodench;14
1670;Georgetta;Brotherson;39
1671;Adore;Vale;50
1672;Kary;Aloise;88
1673;Etta;Wandie;78
1674;Daryl;Hebner;74
1675;Margalo;Frendel;99
1676;Eolanda;Olin;98
1677;Agnese;Thornburg;56
1678;Nadine;Ophelia;85
1679;Devina;Hewitt;72
1680;Aimil;Hylan;89
1681;Anestassia;Audly;36
1682;Gui;Dash;63
1683;Shandie;Johnsson;48
1684;Korrie;Frendel;18
1685;Jaime;Juliet;84
1686;Charissa;Ehrman;13
1687;Taffy;Vilma;53
1688;Belinda;Sadowski;69
1689;Aurore;Wyn;68
1690;Hallie;Lytton;36
1691;Maud;Candy;57
1692;Dode;Jacqui;85
1693;Frances;Wadell;83
1694;Roz;Destinee;67
1695;Allyce;Linehan;85
1696;Eve;Juliet;82
1697;Brianna;Ilka;14
1698;Ariela;Doig;70
1699;Melodie;Niccolo;49
1700;Ileana;Yusuk;7
1701;Libbie;Johanna;13
1702;Ginnie;Niles;23
1703;Damaris;Wenda;99
1704;Wendi;Fax;84
1705;Jacquetta;Dearborn;65
1706;Patricia;Wandie;36
1707;Reeba;Orpah;35
1708;Oralee;Mathilde;65
1709;Bobinette;Bennie;65
1710;Dacia;Kauppi;61
1711;Deloria;Sasnett;40
1712;Harrietta;Joli;40
1713;Margette;Chick;53
1714;Nadine;Yate;56
1715;Annora;Sawtelle;13
1716;Allyce;O'Carroll;54
1717;Gwenneth;Hewitt;59
1718;Beatriz;Grayce;18
1719;Gretal;Cressida;35
1720;Sara-Ann;Liebermann;20
1721;Codie;Kronfeld;51
1722;Sherrie;Noam;32
1723;Allyce;Kolnick;34
1724;Jolyn;Hebner;20
1725;Jerry;Cecile;30
1726;Jorry;Alexandr;83
1727;Kamilah;Duwalt;14
1728;Rebeca;Gunn;48
1729;Tonia;Linskey;29
1730;Ardys;Keelia;50
1731;Kirbee;Izaak;92
1732;Tarra;Bakerman;87
1733;Goldie;Erskine;12
1734;Carol-Jean;Skell;96
1735;Halette;Payson;63
1736;Lily;Azeria;95
1737;Chere;Bettine;30
1738;Kerrin;Pascia;93
1739;Doralynne;Wadell;88
1740;Adriana;Malina;40
1741;Rebeca;August;78
1742;Codie;Aurelio;78
1743;Dianemarie;Forrer;85
1744;Dari;Aida;76
1745;Sadie;Raychel;45
1746;Trudie;Edmund;48
1747;Joelly;Adamsen;25
1748;Sarette;Darrell;59
1749;Reeba;Aldric;37
1750;Myrtice;Federica;99
1751;Melodie;Giule;98
1752;Elbertina;Connelly;92
1753;Lizzie;Mullane;87
1754;Misha;Meli;59
1755;Elfreda;Carleen;12
1756;Verla;McAdams;37
1757;Aigneis;Halla;72
1758;Millie;Fax;93
1759;Kristan;Friede;44
1760;Marjie;Chabot;43
1761;Wendi;Quinn;33
1762;Stacey;Hazlett;22
1763;Molli;Bates;53
1764;Ardys;Hertzfeld;69
1765;Fawne;Amadas;12
1766;Bernardine;Solitta;49
1767;Cecile;Joseph;59
1768;Stacey;Laurianne;81
1769;Dominga;Elisha;72
1770;Kaja;Shaddock;17
1771;Marinna;Adamsen;47
1772;Nanete;Gusella;92
1773;Tilly;O'Neill;6
1774;Rebeca;Adore;58
1775;Concettina;Gaulin;91
1776;Jobi;Slifka;56
1777;Ariela;Horan;17
1778;Reeba;Radu;32
1779;Viviene;Sandye;53
1780;Goldie;Alva;85
1781;Kary;Guthrie;69
1782;Jsandye;Stanwood;37
1783;Dolli;Selway;94
1784;Shaylyn;Rebecka;88
1785;Ketti;Colyer;73
1786;Karena;Modie;74
1787;Cassandra;Olin;82
1788;Nelle;McGrody;67
1789;Frances;Waite;71
1790;Cindelyn;Baudin;38
1791;Tami;Ricki;40
1792;Jinny;Modie;55
1793;Aaren;Crudden;41
1794;Alejandra;Sholley;99
1795;Teddie;Vary;27
1796;Madelle;Wattenberg;5
1797;Nananne;Jefferey;53
1798;Dorthy;Boycey;92
1799;Sadie;Kauppi;32
1800;Jordan;Velick;81
1801;Shel;Gavrila;51
1802;Jinny;Aldric;10
1803;Blake;Margarete;2
1804;Teriann;Graig;63
1805;Madalyn;Tippets;88
1806;Tressa;Christine;22
1807;Layla;Tacye;1
1808;Fanny;Olnee;27
1809;Orsola;Ingra;2
1810;Harmonia;Bohlin;16
1811;Lila;Tarrant;35
1812;Felice;Etom;54
1813;Dulce;Couture;67
1814;Diena;Ambrosia;13
1815;Rebeca;Meter;69
1816;Josephine;Merell;77
1817;Natka;Ortrude;59
1818;Kristina;Katrine;51
1819;Kial;Cottle;47
1820;Isa;Lalitta;61
1821;Kial;Gombach;20
1822;Dyann;Medrek;79
1823;Angelique;Dichy;59
1824;Sindee;Penelopa;56
1825;Cherilyn;Chapland;84
1826;Maisey;Richers;33
1827;Chloris;Wiener;42
1828;Oralee;Jenness;24
1829;Kate;Bergman;30
1830;Jacenta;Ellerey;65
1831;Darci;Atonsah;73
1832;Karena;Sherfield;12
1833;Shaylyn;Gerge;81
1834;Peri;O'Carroll;2
1835;Brynna;Aaberg;49
1836;Mariann;Lail;96
1837;Brana;Colp;89
1838;Daryl;Tamsky;59
1839;Zia;Jalbert;56
1840;Aryn;Lipson;10
1841;Angela;Bobbee;55
1842;Karlee;Lissi;56
1843;Sharlene;Ricarda;5
1844;Melina;Pozzy;8
1845;Dari;Gower;31
1846;Alyda;Septima;97
1847;Meghann;Hamil;39
1848;Annaliese;Alva;4
1849;Evaleen;Lunsford;86
1850;Sean;Rona;77
1851;Christian;Reinke;34
1852;Christian;Hamil;17
1853;Jessy;Latini;30
1854;Talya;Iaverne;99
1855;Leia;Love;34
1856;Bill;Corilla;12
1857;Zsa Zsa;Gaspard;88
1858;Gerianna;O'Rourke;23
1859;Malina;Sothena;47
1860;Dulcinea;Jacobah;38
1861;Cissiee;Kussell;74
1862;Consuela;Holtz;67
1863;Kellen;Yerkovich;46
1864;Gabriellia;Moina;46
1865;Romona;Kiyoshi;56
1866;Caressa;Kauppi;48
1867;Ekaterina;Annice;6
1868;Carree;Bryna;12
1869;Janeczka;Wareing;76
1870;Maridel;Tillford;61
1871;Thalia;Buffum;28
1872;Pierette;Rese;42
1873;Nollie;Celestine;43
1874;Ruthe;Rosalba;57
1875;Grier;Lamoree;49
1876;Ernesta;Fredi;75
1877;Gilda;Bollay;32
1878;Cordi;Dyche;84
1879;Korrie;Faust;46
1880;Linet;Means;12
1881;Talya;Ortrude;55
1882;Hildegaard;Allys;3
1883;Max;Romelda;79
1884;Etta;Trey;42
1885;Michaelina;Ader;78
1886;Carolina;Orelee;50
1887;Antonietta;Autrey;64
1888;Lelah;Trace;7
1889;Justinn;Voletta;87
1890;Louella;Taima;45
1891;Lorenza;Dawkins;34
1892;Jordan;Persse;76
1893;Merrie;Blase;52
1894;Mathilda;Khorma;37
1895;Celisse;Hazlett;60
1896;Bobbi;Koziara;84
1897;Darlleen;Norrie;20
1898;Albertina;Artie;32
1899;Bill;Chick;27
1900;June;Berl;6
1901;Layla;Jotham;33
1902;Dione;Arvo;88
1903;Aryn;Douglass;11
1904;Hollie;Ietta;91
1905;Luci;Kiyoshi;31
1906;Rhea;Sikorski;87
1907;Vonny;Bollay;74
1908;Gilda;Casimir;8
1909;Alyssa;Creamer;10
1910;Meghann;Nerita;45
1911;Henriette;Diogenes;48
1912;Lesly;Sundin;28
1913;Lelah;Chesna;70
1914;Romona;Birdella;34
1915;Elsie;Emerson;78
1916;Jasmina;Michella;32
1917;Adelle;Ellord;60
1918;Ariela;Penelopa;48
1919;Candy;Regan;73
1920;Clementine;Isacco;6
1921;Hermione;Zeeba;92
1922;Danika;Gombach;89
1923;Celene;Israeli;36
1924;Amelia;Toor;92
1925;Sue;Rozanna;59
1926;Marcelline;Stav;89
1927;Dianemarie;Georas;66
1928;Fidelia;Oster;82
1929;Madalyn;Dowski;36
1930;Blinni;Gamaliel;42
