id;vorname;nachname;age
1142;Goldie;Auberbach;64
1143;Caritta;Screens;76
1144;Tybie;Gunn;45
1145;Debee;Thar;44
1146;Lolita;Ariella;78
1147;Eolanda;Baudin;64
1148;Alia;Virgin;28
1149;Atlanta;Barrus;57
1150;Daphne;Pulsifer;1
1151;Sarette;Parette;66
1152;Xylina;Hurley;12
1153;Ginnie;Donell;86
1154;Rori;Jagir;70
1155;Jolyn;Leifeste;48
1156;Chandra;Raseda;26
1157;Pearline;Alisia;11
1158;Angela;Bouchard;42
1159;Melisent;Roarke;94
1160;Jillayne;Milde;86
1161;Abbie;Grobe;99
1162;Dotty;Pip;55
1163;Trixi;Albertine;3
1164;Lolita;Adalbert;20
1165;Calla;Lia;55
1166;Oralee;Ahab;12
1167;Valeda;Lea;19
1168;Konstance;Michella;78
1169;Mureil;Harned;34
1170;Dorice;Kenney;36
1171;Madeleine;Baudin;71
1172;Susan;Gusella;20
1173;Joelly;Bohlin;23
1174;Meg;Gabrielli;43
1175;Margalo;Deegan;9
1176;Theodora;Gregrory;67
1177;Hannis;Kiersten;47
1178;Di;Melan;77
1179;Blinni;Jacobah;2
1180;Leia;Hubert;71
1181;Perry;Hebner;91
1182;Gale;Moina;85
1183;Cassandra;Baudin;87
1184;Elka;Lymann;6
1185;Madelle;Emmy;63
1186;Berget;Marisa;2
1187;Katuscha;Candy;42
1188;Larine;Screens;29
1189;Bibby;Hepsibah;8
1190;Dorthy;Adrienne;22
1191;Emmey;Urania;25
1192;Caritta;Burnside;15
1193;Danika;Dimitris;85
1194;Belva;Thad;49
1195;Joy;Yoko;38
1196;Aili;Lamoree;32
1197;Karena;Bord;3
1198;Alyda;Talia;52
1199;Sam;Leler;91
1200;Berget;Stilwell;53
1201;Sophia;Tyson;19
1202;Luci;Shelba;16
1203;Fanchon;Clie;10
1204;Hyacinthe;Abernon;43
1205;Elora;Corabella;65
1206;Alyda;August;85
1207;Regina;Elo;35
1208;Lexine;Elbertina;70
1209;Alyda;Olin;78
1210;Ellette;Liva;31
1211;Janey;Dermott;75
1212;Delilah;Destinee;14
1213;Tybie;Justinn;74
1214;Kylynn;Uund;45
1215;Evita;Cecile;85
1216;Winifred;Annabella;16
1217;Sheree;Hewitt;44
1218;Sam;Harl;45
1219;Dominga;Niles;54
1220;Ardeen;McGrody;16
1221;Marleah;Alabaster;26
1222;Meriel;Greyson;3
1223;Susan;Jillane;9
1224;Jaclyn;Persse;59
1225;Caritta;Timon;6
1226;Dotty;Kellby;59
1227;Marcy;Dulciana;46
1228;Emilia;Earlie;11
1229;Lelah;Fadiman;78
1230;Glynnis;Goode;98
1231;Karolina;Talia;6
1232;Magdalena;Dermott;28
1233;Dorene;Maribeth;75
1234;Halette;Colleen;24
1235;Pollyanna;Mendez;14
1236;Giustina;Odysseus;32
1237;Emma;Vary;80
1238;Mureil;Kimmie;22
1239;Annora;Aprile;61
1240;Molli;Wolfgram;71
1241;Nataline;Morehouse;46
1242;Berget;Tiffa;30
1243;Blondelle;Cookie;94
1244;Melodie;Tillford;91
1245;Joane;Zina;53
1246;Nadine;Shaver;32
1247;Nicoli;Melan;70
1248;Grier;Noman;22
1249;Blake;Cottle;72
1250;Blake;Voletta;92
1251;Tabbatha;Bevin;38
1252;Carlie;Tiffa;90
1253;Danny;Land;66
1254;Rori;Bow;47
1255;Frank;Estella;78
1256;Lisette;Barbey;70
1257;Thalia;Neva;54
1258;Rosabelle;Nester;37
1259;Calla;Percy;11
1260;Rosaline;Gwenore;35
1261;Ginnie;Zina;54
1262;Elora;Byrne;37
1263;Cherilyn;Tatianas;97
1264;Alleen;Flyn;62
1265;Sonni;Georas;6
1266;Cissiee;Desai;92
1267;Zaria;Parsaye;17
1268;Joceline;Barrus;6
1269;Sheree;Vivle;64
1270;Concettina;Si;63
1271;Pierette;Daniele;51
1272;Lilith;Dituri;32
1273;Dawn;Ummersen;10
1274;Lauryn;Baylor;84
1275;Regina;Buckler;50
1276;Aaren;Sothena;57
1277;Kristan;Audly;25
1278;Verla;Karna;76
1279;Rosaline;Dominy;62
1280;Sheelagh;Firmin;27
1281;Ericka;Hoban;45
1282;Keelia;Poppy;11
1283;Lynde;Loring;19
1284;Theodora;Candy;19
1285;Anthia;An;76
1286;Wanda;Flyn;77
1287;Miquela;Keelia;77
1288;Lynde;Kimmie;28
1289;Charlena;Braun;47
1290;Georgetta;Ader;32
1291;Janeczka;Naashom;29
1292;Gui;Ries;61
1293;Devina;Keily;80
1294;Lucille;Sophronia;42
1295;Sabina;Flyn;56
1296;Layla;Hortensia;37
1297;Zsa Zsa;Pearse;39
1298;Vivia;Ball;40
1299;Marguerite;Paton;52
1300;Marleah;Lamoree;40
1301;Kylynn;Cressida;70
1302;Lacie;Hylan;9
1303;Frank;Fosque;62
1304;Jemie;Behre;61
1305;Andree;Hubert;99
1306;Melina;Morgun;94
1307;Tobe;Cherianne;93
1308;Netty;Faso;13
1309;Fanchon;Latini;71
1310;Carlie;Haerr;46
1311;Sara-Ann;Vastah;51
1312;Cacilie;Hessler;45
1313;Nonnah;Decato;99
1314;Darlleen;Dannye;68
1315;Jerry;Linskey;29
1316;Britni;Rese;72
1317;Melina;Wittie;17
1318;Angelique;Urania;89
1319;Odessa;Hunfredo;61
1320;Lizzie;Wilkinson;69
1321;Mireielle;Emmy;67
1322;Berget;McClimans;68
1323;Letizia;Atonsah;54
1324;Addia;Pillsbury;70
1325;Deane;Soneson;64
1326;Johna;Leler;81
1327;Corene;Malina;33
1328;Konstance;Yuille;52
1329;Teddie;Jagir;70
1330;Roseline;Marcellus;86
1331;Netty;Creamer;48
1332;Corina;Guthrie;71
1333;Ana;Amasa;44
1334;Chrystel;Annice;58
1335;Nananne;Beebe;11
1336;Monika;Bebe;70
1337;Winny;Alfons;100
1338;Lolita;Dom;83
1339;Aubrie;Schenck;48
1340;Rosanne;Fink;80
1341;Korrie;Ries;23
1342;Sheree;Herrera;85
1343;Lorne;Emmy;96
1344;Gertrud;Rona;92
1345;Caritta;Wenda;70
1346;Lenna;Pauly;31
1347;Katharina;Velick;66
1348;Alameda;Amasa;98
1349;Willetta;Hamil;7
1350;Krystle;Dreda;100
1351;Sophia;Bendick;74
1352;Julieta;Ogren;90
1353;Selma;Rossner;50
1354;Vivia;Viddah;33
1355;Hettie;Creamer;26
1356;Katuscha;Burch;13
1357;Starla;Brodench;31
1358;Britni;Madelene;16
1359;Joleen;Sherfield;42
1360;Morganica;Melleta;83
1361;Maridel;Harday;99
1362;Beatriz;Wadell;13
1363;Alex;Trace;93
1364;Kelly;Thunell;58
1365;Neila;Cleo;34
1366;Adele;Pozzy;38
1367;Evita;Audly;18
1368;Adelle;Wildermuth;86
1369;Mellicent;Land;50
1370;Kathy;Montgomery;2
1371;Fanny;Guildroy;93
1372;Emylee;Brittani;89
1373;Rozele;Lanita;20
1374;Paola;Teddman;14
1375;Selia;Lesley;94
1376;Kenna;Catie;31
1377;Chandra;Narton;94
1378;Meg;Crudden;93
1379;Halette;Vernier;65
1380;Amelia;Fennessy;98
1381;Constance;Colbert;61
1382;Randa;Japeth;19
1383;Katleen;Granoff;91
1384;Joeann;Ricki;6
1385;Cyndie;Yusuk;13
1386;Carmencita;Duwalt;19
1387;Gretal;Bryna;100
1388;Celestyna;Hutchison;91
1389;Micheline;Allys;13
1390;Louella;Gillan;58
1391;Kial;Old;9
1392;Luci;Glenden;5
1393;Hyacinthe;Henrie;69
1394;Mara;Gaynor;48
1395;Charmaine;Dosia;8
1396;Jsandye;Hubert;86
1397;Rhoda;Orpah;31
1398;Damaris;Anton;12
1399;Farrah;Philoo;75
1400;Leona;Grayce;70
1401;Ivett;Pillsbury;57
1402;Andeee;My;27
1403;Gerrie;Monaco;53
1404;Genevra;Sprage;80
1405;Katleen;Jerold;56
1406;Ericka;Cath;92
1407;Dode;Lynn;80
1408;Babita;Sidonius;53
1409;Babita;Westphal;62
1410;Sadie;Tufts;50
1411;Vevay;Regan;3
1412;Patricia;Schalles;8
1413;Sonni;Grimbly;10
1414;Angela;Taam;43
1415;Florie;Palocz;18
1416;Gerianna;Revkah;25
1417;Courtnay;Toor;64
1418;Kara-Lynn;Maurine;63
1419;Arlena;Cristi;6
1420;Kate;Destinee;58
1421;Dagmar;Erlandson;86
1422;Kayla;Adrienne;24
1423;Giustina;Infield;21
1424;Rosaline;Lenny;79
1425;Lynea;Chem;39
1426;Audrie;Rese;16
1427;Giustina;Nadia;94
1428;Kary;Juliet;38
1429;Drucie;Agle;80
1430;Helsa;Laverne;54
1431;Tersina;Sprage;61
1432;Cherrita;Pandolfi;15
1433;Pierette;Ioab;18
1434;Nessie;Weitman;60
1435;Amalie;Grosz;70
1436;Ermengarde;Leler;22
1437;Alameda;Whittaker;93
1438;Andeee;Greyson;79
1439;Lizzie;Lorenz;71
1440;Ginnie;Anderea;46
1441;Aeriela;Bennie;12
1442;Candi;Uird;13
1443;Rebeca;Penelopa;33
1444;Dale;Kat;8
1445;Di;Adalbert;62
1446;Flo;Ball;31
1447;Chloris;Bibi;63
1448;Angelique;Braun;37
1449;Mady;Baylor;7
1450;Lexine;Herrera;75
1451;Rhea;Jefferey;66
1452;Jan;Miru;5
1453;Melanie;Ursulette;77
1454;Berta;Regan;72
1455;Codie;Daniele;99
1456;Anthia;Silvan;69
1457;Fidelia;Gale;56
1458;Audrie;Raimondo;47
1459;Mignon;Kaja;11
1460;Mara;Daveta;49
1461;Kore;Ade;86
1462;Olivette;Madaih;53
1463;Jenda;Rillings;16
1464;Debee;Olympium;63
1465;Adelle;Rudolph;70
1466;Raf;Roscoe;70
1467;Albertina;Dyche;9
1468;Tilly;Gualtiero;78
1469;Joeann;Garrison;91
1470;Netty;Cassius;72
1471;Shell;Riordan;54
1472;Joane;Hourigan;8
1473;Karlee;Dorcy;70
1474;Helsa;Danby;48
1475;Blinni;Klotz;2
1476;Selma;Lane;23
1477;Carly;Terencio;62
1478;Stevana;Lemuela;15
1479;Caryl;Angelis;83
1480;Brianna;Greenwald;41
1481;Lita;Grimbly;82
1482;Hyacinthe;Screens;50
1483;Brynna;Swigart;73
1484;Hettie;Isacco;51
1485;Gianina;Charmine;4
1486;Orsola;Ivens;64
1487;Ebonee;Loring;18
1488;Vita;Janith;89
1489;Ardenia;Lowry;72
1490;Marinna;Dom;65
1491;Sandie;Girardo;83
1492;Katleen;Kosey;21
1493;Viviene;Yate;45
1494;Donnie;Love;62
1495;Chandra;Annice;30
1496;Tori;Loleta;11
1497;Chandra;Florina;94
1498;Hollie;Sprage;9
1499;Stacey;Oriana;68
1500;Gwyneth;Love;40
1501;Merle;Lindemann;30
1502;Jaime;Briney;9
1503;Cam;Ehrman;75
1504;Korrie;Maurine;36
1505;Winifred;Old;49
1506;Tarra;Richers;15
1507;Vevay;Kravits;18
1508;Chickie;Ashely;97
1509;Alexine;Lea;42
1510;Mara;Chobot;60
1511;Shauna;Cosenza;26
1512;Nananne;Eachern;12
1513;Kassey;Dimitris;80
1514;Gusella;Screens;29
1515;Kelly;Kinnard;7
1516;Cacilie;Imelida;96
1517;Gwenneth;Joseph;48
1518;Lorenza;Adalbert;67
1519;Danika;Erich;72
1520;Marleah;Naashom;15
1521;Mary;Alcott;31
1522;Lanna;Kunin;57
1523;Michaelina;An;56
1524;Carmela;Hurley;51
1525;Sharlene;Fredi;52
1526;Vevay;Magdalen;56
1527;Wendi;Hessler;74
1528;Loree;Fosque;8
1529;Genevra;Dichy;92
1530;Maud;Colbert;47
1531;Sam;Huggins;67
1532;Alexine;Merriott;19
1533;Sue;Sherrie;63
1534;Stephanie;Seligman;19
1535;Albertina;Carbo;23
1536;Dorene;Simmonds;53
1537;Mureil;Stanwood;95
1538;Jaime;Lareena;23
1539;Doro;Hathaway;37
1540;Nikki;Sabella;72
1541;Caritta;Tengdin;89
1542;Lynde;Gualtiero;29
1543;Karina;Fontana;46
1544;Maryellen;Fitzsimmons;98
1545;Frieda;Marijo;96
1546;Eolanda;Verger;66
1547;Viviene;Phaidra;38
1548;Glynnis;Glenden;21
1549;Estell;Ajay;53
1550;Ulrike;Rogerio;52
1551;Katleen;Juliet;27
1552;Aili;Jary;61
1553;Ketti;Friede;56
1554;Ketti;Cassius;98
1555;Dagmar;Kronfeld;68
1556;Gaylene;Halla;31
1557;Selia;Bergman;67
1558;Gilligan;Isidore;69
1559;Lorie;Astra;53
1560;Donnie;Diann;89
1561;Starla;Carolin;12
1562;Nikki;Therine;4
1563;Gilda;Izaak;76
1564;Adelle;Erskine;93
1565;Lory;Quinn;44
1566;Alejandra;Evangelia;81
1567;Andree;Dominy;73
1568;Korrie;Weide;18
1569;Gratia;Laverne;84
1570;Carolina;Travax;69
1571;Pearline;Lorenz;85
1572;Beverley;Fredi;13
1573;Hyacinthe;Fillbert;84
1574;Perry;Durante;67
1575;Vita;Aprile;60
1576;Doralynne;Lory;76
1577;Mignon;Fillbert;35
1578;Sybille;Voletta;1
1579;Blinni;Helve;51
1580;Elka;Friede;75
1581;Rayna;Hurley;72
1582;Dominga;Land;93
1583;Florie;Sundin;68
1584;Marjie;Alejoa;69
1585;Cyb;Wu;80
1586;Regina;Anestassia;38
1587;Lily;Lareena;83
1588;Philis;Granoff;60
1589;Dorothy;Clywd;65
1590;Lexine;Erskine;60
1591;Tomasina;Hartnett;55
1592;Anestassia;Behre;55
1593;Catharine;Wind;71
1594;Jany;Pulsifer;30
1595;Dari;Bronk;62
1596;Nessie;Skell;62
1597;Chickie;Sparhawk;40
1598;Mamie;Nester;5
1599;Konstance;Vilma;76
1600;Daune;Mozelle;70
1601;Winifred;Naashom;2
1602;Genevra;Quinn;64
1603;Hallie;Land;10
1604;Vanessa;Vharat;74
1605;Lulita;O'Carroll;58
1606;Kaja;Briney;28
1607;Janenna;Fosque;60
1608;Rosanne;Simmonds;59
1609;Shel;Dielu;65
1610;Jean;Goerke;52
1611;Ebonee;Lane;81
1612;Judy;Kussell;63
1613;Elise;Kosey;6
1614;Kore;Brotherson;88
1615;Alia;Kussell;75
1616;Willetta;Redmond;7
1617;Jacquetta;Heisel;25
1618;Berta;Zachary;90
1619;Winifred;Jerold;29
1620;Nananne;Warthman;83
1621;Minne;August;73
1622;Larine;Fontana;56
1623;Gretal;Virgin;41
1624;Tera;Dawkins;33
1625;Lacie;Idelia;84
1626;Roseline;Fiann;63
1627;Ethel;Lanita;26
1628;Aurelie;Garbe;56
1629;Modestia;Garlinda;1
1630;Deane;Jammal;79
1631;Tiffie;Izaak;44
1632;Amalie;Blake;44
1633;Melanie;Rebecka;78
1634;Valera;Trinetta;74
1635;Camile;Kenwood;60
1636;Agathe;Reidar;59
1637;Vivia;Hathaway;68
1638;Gianina;Kathie;4
1639;Kary;Fosque;63
1640;Aryn;Hazlett;32
1641;Ileana;Maiah;69
1642;Cam;Esmaria;74
1643;Marcelline;Milde;6
1644;Mignon;Howlyn;30
1645;Teddie;Selway;53
1646;Lynea;Norrie;36
1647;Calla;Frendel;82
1648;Fredericka;Elephus;13
1649;Cassandra;Georas;20
1650;Ethel;Hutchison;7
1651;Charlena;Emmy;52
1652;Eadie;Berl;31
1653;Brianna;Eugenia;42
1654;Jenilee;Nikaniki;79
1655;Eadie;Gaynor;83
1656;Dorene;Juan;42
1657;Keelia;Vittoria;39
1658;Jenda;Cath;51
1659;Philis;Standing;48
1660;Florie;Ietta;47
1661;Bibby;Means;61
1662;Jessy;Pond;40
1663;Nadine;Ciro;6
1664;Shell;Mata;6
1665;Steffane;Willie;85
1666;Brana;Lia;7
1667;Jan;Dawkins;57
1668;Frances;Swanhildas;74
1669;Lorie;Presber;96
1670;Bee;Raul;11
1671;Shannah;Septima;96
1672;Xylina;Lay;7
1673;Mignon;Dahlia;79
1674;Marika;Velick;91
1675;Catrina;Penelopa;21
1676;Carolina;Boycey;64
1677;Phedra;Gower;58
1678;Madeleine;Vharat;32
1679;Merle;Erb;34
1680;Elie;Georas;99
1681;Dagmar;Goldina;57
1682;Kial;Beebe;41
1683;Teddie;Morehouse;84
1684;Catrina;Borrell;45
1685;Vevay;Kenwood;91
1686;Giustina;Valoniah;31
1687;Ileana;Dash;90
1688;Dede;Eben;86
1689;Robinia;Imelida;56
1690;Melodie;Giule;21
1691;Mariann;Martsen;76
1692;Judy;Bates;19
1693;Talya;Odysseus;2
1694;Arlina;Kelula;28
1695;Antonietta;Auberbach;15
1696;Olwen;Hurley;62
1697;Arabel;Ambrosia;78
1698;Peri;Skell;24
1699;Aaren;Meter;67
1700;Marti;Sibyls;34
1701;Amalie;Burkle;79
1702;Cherrita;Judye;39
1703;Shirlee;Emanuel;96
1704;Annabela;Zitvaa;99
1705;Deirdre;Gwenore;39
1706;Andree;Pillsbury;73
1707;Karly;Burnside;80
1708;Chickie;Danby;93
1709;Lyssa;Nedrud;45
1710;Tierney;Colyer;75
1711;Deirdre;Nicoline;98
1712;Bettine;Bouchard;79
1713;Cyb;Lanita;47
1714;Laurene;Barbey;70
1715;Atlanta;Lalitta;56
1716;Ninnetta;Atonsah;91
1717;Rosabelle;Edvard;32
1718;Aryn;Chesna;43
1719;Courtnay;Wolfgram;8
1720;Darlleen;Kathie;90
1721;Asia;Elbertina;31
1722;Drucie;Boycey;2
1723;Ricky;Catie;65
1724;Willetta;Kiyoshi;55
1725;Stacey;Fiester;31
1726;Joeann;Delila;18
1727;Susan;Durante;14
1728;Odessa;Myrilla;81
1729;Bettine;Zeeba;14
1730;Randa;Colp;9
1731;Petronia;Elbertina;20
1732;Winny;Lory;50
1733;Dorthy;Ashok;34
1734;Rubie;Billye;5
1735;Elfreda;Posner;54
1736;Josephine;Schenck;91
1737;Raf;Bonilla;90
1738;Jackie;Dudley;75
1739;Ann-Marie;Jotham;23
1740;Eadie;Tomasina;70
1741;Claresta;Winthorpe;31
1742;Zondra;Hutchison;69
1743;Jeanna;Gale;97
1744;Fred;Pernick;61
1745;Violet;Muriel;87
1746;Betta;Thunell;30
1747;Sindee;Geffner;87
1748;Harrietta;Zina;82
1749;Amara;Yorick;91
1750;Tierney;Liva;41
1751;Yetty;Roumell;85
1752;Codie;Alcott;49
1753;Fred;Darbie;35
1754;Jere;Dorothy;98
1755;Vivia;Oscar;82
1756;Harrietta;Brandice;23
1757;Nikki;Remmer;27
1758;Antonietta;Levey;58
1759;Marcy;Constancy;96
1760;Jordan;Eachern;16
1761;Trixi;Thema;18
1762;Livvyy;Shields;88
1763;Roslyn;Bibi;74
1764;Etta;Malina;91
1765;Glenda;Greyson;59
1766;Correy;Lilybelle;21
1767;Goldie;Sawtelle;31
1768;Mellicent;Redmond;16
1769;Juliane;Ciapas;56
1770;Stacey;Barbey;27
1771;Cecile;Oneida;14
1772;Livvyy;Chapland;56
1773;Andree;Brady;64
1774;Leeanne;Kellby;55
1775;Kassey;Merell;61
1776;Josephine;Francene;94
1777;Emma;Travax;26
1778;Tani;Marlie;87
1779;Merci;Candy;5
1780;Concettina;Laverne;79
1781;Caritta;Amethist;31
1782;Dede;Sperling;84
1783;Shauna;Weide;9
1784;Edith;Nickola;43
1785;Nollie;Ochs;44
1786;Layla;Artie;17
1787;Jan;Yam;62
1788;Janis;Bord;23
1789;Robinia;Vins;49
1790;Delilah;Hartnett;56
1791;Sherrie;Berne;41
1792;Britni;Magdalen;87
1793;Imojean;Lymann;3
1794;Marline;Podvin;22
1795;Jobi;Felecia;82
1796;Luci;Codding;5
1797;Lexine;McGrody;19
1798;Kayla;Zrike;20
1799;Dorthy;Lorenz;30
1800;Roxane;Brieta;68
1801;Aeriela;Bluh;86
1802;Ronna;Haldas;15
1803;Netty;Danby;17
1804;Tatiania;Salchunas;74
1805;Deedee;Ashely;92
1806;Stacey;Greyson;71
1807;Talya;Fax;7
1808;Helsa;Warthman;75
1809;Vita;Jaylene;73
1810;Flory;Henrie;50
1811;Ardys;Clie;4
1812;Elka;Gladstone;71
1813;Marnia;Waite;14
1814;Talya;Brackely;35
1815;Lynea;Briney;61
1816;Joceline;Chapland;58
1817;Dione;Herrera;79
1818;Angelique;Leopold;72
1819;Krystle;Hanleigh;38
1820;Therine;Abbot;93
1821;Gwenneth;Zrike;75
1822;Peri;Raul;64
1823;Fina;Hillel;95
1824;Lulita;Maribeth;65
1825;Fanchon;Shelba;71
1826;Tera;Guthrie;36
1827;Kara-Lynn;Skell;34
1828;Camile;Sparhawk;15
1829;Madalyn;Therine;11
1830;Kimmy;Marden;94
1831;Allis;Kesley;17
1832;Addia;Colbert;99
1833;Caressa;Boehike;65
1834;Lorenza;Fosque;71
1835;Dagmar;Bakerman;59
1836;Barbara;Colbert;87
1837;Romona;Kelula;84
1838;Catharine;Nance;68
1839;Vonny;Grobe;65
1840;Ann-Marie;Cadmar;73
1841;Meriel;Nelsen;21
1842;Fanchon;Michella;37
1843;Tersina;Kannry;93
1844;Melodie;Velick;13
1845;Jolyn;Henebry;55
1846;Paulita;Durante;41
1847;Teriann;Mott;18
1848;Riannon;Riordan;38
1849;Maurene;Gunn;36
1850;Gerrie;Gregrory;55
1851;Sara-Ann;Niccolo;35
1852;Basia;Briney;8
1853;Loree;Stephie;83
1854;Ileana;Crudden;59
1855;Roslyn;Chick;33
1856;Codie;Sophronia;43
1857;Bobbi;Vittoria;3
1858;Tiffie;Seumas;38
1859;Cassandra;Garek;57
1860;Brana;Bollay;26
1861;Danika;Euridice;10
1862;Tierney;Selway;92
1863;Nessie;Bryna;45
1864;Alex;Odell;14
1865;Amara;Bouchard;34
1866;Jsandye;Poppy;75
1867;Delilah;Arne;27
1868;Celestyna;Ackerley;69
1869;Sandie;Mathilde;83
1870;Selma;Bonucci;69
1871;Alisha;Rozanna;47
1872;Ricky;Orelee;3
1873;Atlanta;Solitta;72
1874;Merry;Colp;79
1875;Heida;Andrel;64
1876;Zsa Zsa;Alarise;8
1877;Deane;Hillel;8
1878;Ronna;Flyn;40
1879;Elyssa;Geffner;76
1880;Cassandra;Slifka;25
1881;Genevra;Gaspard;26
1882;Phylis;Rillings;84
1883;Sue;Ulphia;11
1884;Peri;Stuart;76
1885;Doralynne;Carmena;59
1886;Silvana;Lesley;71
1887;Brana;Ivens;18
1888;Debee;Sparhawk;95
1889;Marsiella;Persse;86
1890;Leontine;Dom;29
1891;Dorene;Colyer;42
1892;Dulce;Leonard;82
1893;Tami;Agle;73
1894;Clarice;Brian;54
1895;Bobinette;Sigfrid;100
1896;Olivette;Longfellow;35
1897;Sharai;O'Carroll;38
1898;Flo;Riordan;97
1899;Pierette;Ball;47
1900;Jinny;Herrera;43
1901;Thalia;Niccolo;96
1902;Gwyneth;Melan;52
1903;Aaren;Neils;98
1904;Harmonia;Jillane;6
1905;Gloria;Cimbura;6
1906;Sabina;Wyn;17
1907;Gabriellia;Ogren;10
1908;Harmonia;Joni;52
1909;Donnie;Fadiman;94
1910;Carmencita;Tiffa;64
1911;Wilma;Yusuk;84
1912;Maisey;Gerge;71
1913;Talya;Lilas;50
1914;Maryellen;Lamoree;11
1915;Sallie;Donoghue;97
1916;Basia;Magnolia;96
1917;Jessy;Pyle;29
1918;Cristabel;Cornelia;21
1919;Rhoda;Wadell;31
1920;Myriam;Pauly;36
1921;Chloris;Ailyn;70
1922;Tera;Jillane;89
1923;Consuela;Hessler;26
1924;Adriana;Tamar;58
1925;Reeba;Eckblad;87
1926;Viviene;Charmine;65
1927;Ninnetta;Ezar;95
1928;Sibella;Halla;4
1929;Mallory;Morgun;8
1930;Louella;Wyn;93
1931;Amara;Haldas;83
1932;Nelle;Fennessy;63
1933;Raf;Constancy;19
1934;Netty;Campball;12
1935;Leanna;Sherfield;62
